Question Number,Question Status,Question Type,Mandate,Subject,Unit,Panel,Food Sector Area,Deadline,Deadline Type,Acceptance Date,Adoption Date,Clock stop date,Clock start date,Difference (EFSA working days)
EFSA-Q-2009-01470,Finished,Application,M-2008-0126,FL-no 09.466 Phenethyl isovalerate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01469,Finished,Application,M-2008-0126,FL-no 09.427 Phenethyl isobutyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01468,Finished,Application,M-2008-0126,FL-no 09.407 2-Phenethyl 3-methylcrotonate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01467,Finished,Application,M-2008-0126,FL-no 09.262 Phenethyl octanoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01466,Finished,Application,M-2008-0126,FL-no 09.261 2-Phenethyl hexanoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01465,Finished,Application,M-2008-0126,FL-no 09.168 Phenethyl butyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01464,Finished,Application,M-2008-0126,FL-no 09.137 Phenethyl propionate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01463,Finished,Application,M-2008-0126,FL-no 09.083 Phenethyl formate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01462,Finished,Application,M-2008-0126,FL-no 09.031 Phenethyl acetate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01461,Finished,Application,M-2008-0126,FL-no 08.049 Phenoxyacetic acid,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01460,Finished,Application,M-2008-0126,FL-no 08.038 Phenylacetic acid,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01459,Finished,Application,M-2008-0126,FL-no 06.036 1-Butoxy-1-(2-phenylethoxy)ethane,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01458,Finished,Application,M-2008-0126,"FL-no 06.027 4,5-Dimethyl-2-benzyl-1,3-dioxolan",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01457,Finished,Application,M-2008-0126,"FL-no 06.024 1,1-Di-isobutoxy-2-phenylethane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01456,Finished,Application,M-2008-0126,FL-no 06.016 1-Phenylethoxy-1-propoxy ethane,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01455,Finished,Application,M-2008-0126,FL-no 06.007 Phenylacetaldehyde glyceryl acetal,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01454,Finished,Application,M-2008-0126,"FL-no 06.006 1,1-Dimethoxy-2-phenylethane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01453,Finished,Application,M-2008-0126,FL-no 05.044 p-Isopropyl phenylacetaldehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01452,Finished,Application,M-2008-0126,FL-no 05.042 p-Tolylacetaldehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01451,Finished,Application,M-2008-0126,FL-no 05.030 Phenylacetaldehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01450,Finished,Application,M-2008-0126,FL-no 09.812 Glyceryl tribenzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01449,Finished,Application,M-2008-0126,FL-no 09.806 Hex-3-enyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01448,Finished,Application,M-2008-0126,FL-no 09.803 Propylene glycol dibenzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01447,Finished,Application,M-2008-0126,FL-no 09.776 Propyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01446,Finished,Application,M-2008-0126,FL-no 09.771 Linalyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01445,Finished,Application,M-2008-0126,FL-no 09.770 Isopropyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01444,Finished,Application,M-2008-0126,FL-no 09.768 Hexyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01443,Finished,Application,M-2008-0126,FL-no 09.767 Geranyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01442,Finished,Application,M-2008-0126,FL-no 09.757 Isobutyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01441,Finished,Application,M-2008-0126,FL-no 09.755 Isopentyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01440,Finished,Application,M-2008-0126,FL-no 09.727 Benzyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01439,Finished,Application,M-2008-0126,FL-no 09.726 Ethyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01438,Finished,Application,M-2008-0126,FL-no 09.725 Methyl benzoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01437,Finished,Application,M-2008-0126,FL-no 09.705 Benzyl phenylacetate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01436,Finished,Application,M-2008-0126,"FL-no 09.508 Benzyl 2,3-dimethylcrotonate",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01435,Finished,Application,M-2008-0126,FL-no 09.494 Benzyl 2-methylcrotonate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01434,Finished,Application,M-2008-0126,FL-no 09.458 Benzyl isovalerate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01433,Finished,Application,M-2008-0126,FL-no 09.426 Benzyl isobutyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01432,Finished,Application,M-2008-0126,FL-no 09.406 Benzyl 3-oxobutyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01431,Finished,Application,M-2008-0126,FL-no 09.294 2-Methylbenzyl acetate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01430,Finished,Application,M-2008-0126,FL-no 09.132 Benzyl propionate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01429,Finished,Application,M-2008-0126,FL-no 09.077 Benzyl formate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01428,Finished,Application,M-2008-0126,FL-no 09.051 Benzyl butyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01427,Finished,Application,M-2008-0126,FL-no 09.014 Benzyl acetate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01426,Finished,Application,M-2008-0126,FL-no 08.021 Benzoic acid,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01425,Finished,Application,M-2008-0126,"FL-no 06.032 4-Methyl-2-phenyl-1,3-dioxolane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01424,Finished,Application,M-2008-0126,FL-no 06.019 1-Benzyloxy-1-(2-methoxyethoxy)ethane,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01423,Finished,Application,M-2008-0126,FL-no 06.012 Tolualdehyde glyceryl acetal,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01422,Finished,Application,M-2008-0126,"FL-no 06.003 alpha,alpha-Dimethoxytoluene",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01421,Finished,Application,M-2008-0126,"FL-no 06.002 5-Hydroxy-2-phenyl-1,3-dioxane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01420,Finished,Application,M-2008-0126,"FL-no 05.110 2,4-Dimethylbenzaldehyde",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01419,Finished,Application,M-2008-0126,FL-no 05.068 4-Ethylbenzaldehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01418,Finished,Application,M-2008-0126,FL-no 05.027 Tolualdehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01417,Finished,Application,M-2008-0126,FL-no 05.022 4-Isopropylbenzaldehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01416,Finished,Application,M-2008-0126,FL-no 05.013 Benzaldehyde,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01415,Finished,Application,M-2008-0126,FL-no 02.039 4-Isopropylbenzyl alcohol,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01414,Finished,Application,M-2008-0126,FL-no 06.081 1-Ethoxy-1-(3-hexenyloxy)ethane,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01413,Finished,Application,M-2008-0126,"FL-no 06.037 1,1-Diethoxyhept-4-ene (cis and trans)",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01412,Finished,Application,M-2008-0126,"FL-no 06.028 1,1-Dimethoxyheptane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01411,Finished,Application,M-2008-0126,"FL-no 06.015 1,1-Dimethoxyethane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01410,Finished,Application,M-2008-0126,"FL-no 06.009 10,10-Dimethoxydecane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01409,Finished,Application,M-2008-0126,"FL-no 06.008 1,1-Dimethoxyoctane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01408,Finished,Application,M-2008-0126,FL-no 06.005 Citral dimethyl acetal,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01407,Finished,Application,M-2008-0126,FL-no 06.004 Citral diethyl acetal,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/03/2009,-,-,-
EFSA-Q-2009-01406,Finished,Application,M-2008-0126,FL-no 09.919 Ethyl 3-acetoxy-2-methylbutyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,14/05/2009,-,-,-
EFSA-Q-2009-01405,Finished,Application,M-2008-0126,FL-no 09.632 Methyl 5-acetoxyhexanoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,14/05/2009,-,-,-
EFSA-Q-2009-01404,Finished,Application,M-2008-0126,FL-no 07.090 1-Hydroxybutan-2-one,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,14/05/2009,-,-,-
EFSA-Q-2009-01403,Finished,Application,M-2008-0126,"FL-no 06.089 2-Hexyl-4,5-dimethyl-1,3-dioxolane",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,14/05/2009,-,-,-
EFSA-Q-2009-01402,Finished,Application,M-2008-0126,"FL-no 06.087 Ethyl 2,4-dimethyl-1,3-dioxolane-2-acetate",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,14/05/2009,-,-,-
EFSA-Q-2009-01401,Finished,Application,M-2008-0126,FL-no 15.131 5-Ethyl-4-methyl-2-(2-butyl)-thiazoline,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,23/07/2009,-,-,-
EFSA-Q-2009-01400,Finished,Application,M-2008-0126,FL-no 15.130 5-Ethyl-4-methyl-2-(2-methylpropyl)-thiazoline,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,23/07/2009,-,-,-
EFSA-Q-2009-01399,Finished,Application,M-2008-0126,FL-no 15.128 2-Propionyl-2-thiazoline,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,23/07/2009,-,-,-
EFSA-Q-2009-01398,Finished,Application,M-2008-0126,FL-no 15.127 1-(3-Hydroxy-5-methyl-2-thienyl)ethanone,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,23/07/2009,-,-,-
EFSA-Q-2009-01397,Finished,Application,M-2008-0126,FL-no 15.126 3-(Methylthio)-methylthiophen,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,23/07/2009,-,-,-
EFSA-Q-2009-01396,Finished,Application,M-2008-0126,FL-no 16.055 Sclareolide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01395,Finished,Application,M-2008-0126,FL-no 13.161 Octahydrocoumarin,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01394,Finished,Application,M-2008-0126,FL-no 13.012 6-Methylcoumarin,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01393,Finished,Application,M-2008-0126,"FL-no 13.009 3,4-Dihydrocoumarin",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01392,Finished,Application,M-2008-0126,"FL-no 10.169 5,6,7,7alpha-Tetrahydro-4,4,7alpha-trimethyl-2-(4H)-benzofuranone",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01391,Finished,Application,M-2008-0126,"FL-no 10.072 Dimethyl-3,6-benzo-2(3H)-furanone",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01390,Finished,Application,M-2008-0126,"FL-no 10.070 4-Methyl-5-hexen-1,4-olide",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01389,Finished,Application,M-2008-0126,FL-no 10.069 3-Methyl gamma-decalactone,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01388,Finished,Application,M-2008-0126,FL-no 10.061 cis-5-Hexenyldihydro-5-methylfuran-2(3H)-one,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01387,Finished,Application,M-2008-0126,"FL-no 10.050 Hexahydro-3,6-dimethyl-2(3H)-benzofuranone",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01386,Finished,Application,M-2008-0126,FL-no 10.025 3-Butylphthalide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01385,Finished,Application,M-2008-0126,FL-no 10.024 3-Butylidenephthalide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,17/06/2009,-,-,-
EFSA-Q-2009-01384,Finished,Application,M-2008-0126,FL-no 17.035 4-Amino-butyric acid,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,17/06/2009,24/09/2009,-,-,-
EFSA-Q-2009-01383,Finished,Application,M-2008-0126,FL-no 16.111 N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01382,Finished,Application,M-2008-0126,"FL-no 16.105 2-[(2,3,4,5,6-Pentahydroxyhexanoyl)amino]ethyl dihydrogen phosphate",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01381,Finished,Application,M-2008-0126,FL-no 16.104 2-[(2-Hydroxypropanoyl)amino]ethyl dihydrogen phosphate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01380,Finished,Application,M-2008-0126,FL-no 16.103 (2R)-2-Hydroxy-N-(2-hydroxyethyl)propanamide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01379,Finished,Application,M-2008-0126,"FL-no 16.102 2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)-hexanamide",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01378,Finished,Application,M-2008-0126,FL-no 16.101 N1-(2-Methoxy-4-methylbenzyl)-N2-(2-(pyridin-2-yl)ethyl)oxalamide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01377,Finished,Application,M-2008-0126,FL-no 16.100 N1-(2-Methoxy-4-methylbenzyl)-N2-(2-(5-methylpyridin-2-yl)ethyl)oxalamide,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01376,Finished,Application,M-2008-0126,"FL-no 16.099 N-(2,4-Dimethoxy-benzyl)-N'-(2-pyridin-2-yl-ethyl)-oxalamide",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01375,Finished,Application,M-2008-0126,"FL-no 16.098 N-(1-Propylbutyl)-1,3-benzodioxole-5-carboxamide",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01374,Finished,Application,M-2008-0126,"FL-no 16.095 N-3,7-Dimethyl-2,6-octadienyl cyclopropylcarboxamide",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01373,Finished,Application,M-2008-0126,FL-no 05.020 Citral,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01372,Finished,Application,M-2008-0126,FL-no 13.087 6-Acetoxydihydrotheaspirane,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01371,Finished,Application,M-2008-0126,FL-no 13.076 6-Hydroxydihydrotheaspirane,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01370,Finished,Application,M-2008-0126,"FL-no 02.251 2,4,8-Trimethyl-3,7-nonadien-2-ol",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01369,Finished,Application,M-2008-0126,"FL-no 02.250 2,4,8-Trimethyl-7-nonen-2-ol",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01368,Finished,Application,M-2008-0126,"FL-no 02.245 2,3,4-Trimethyl-3-pentanol",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,24/09/2009,-,-,-
EFSA-Q-2009-01367,Finished,Application,M-2008-0032,FL-no 09.935 Dimenthyl glutarate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01366,Finished,Application,M-2008-0032,FL-no 09.929 L-Monomenthyl glutarate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01365,Finished,Application,M-2008-0032,FL-no 09.870 Carvyl-3-methylbutyrate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01364,Finished,Application,M-2008-0032,FL-no 09.621 Menthyl salicylate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01363,Finished,Application,M-2008-0032,FL-no 09.619 Menthyl hexanoate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01362,Finished,Application,M-2008-0032,FL-no 09.618 Menthyl formate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01361,Finished,Application,M-2008-0032,FL-no 09.520 Methyl 3-oxo-2-pentyl-1-cyclopentylacetate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01360,Finished,Application,M-2008-0032,FL-no 09.355 neo-Dihydrocarvyl acetate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01359,Finished,Application,M-2008-0032,FL-no 09.154 Menthyl valerate,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01358,Finished,Application,M-2008-0032,FL-no 07.207 Cyclotetradecanone,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01357,Finished,Application,M-2008-0032,"FL-no 07.203 3,3,5-Trimethylcyclohexan-1-one",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01356,Finished,Application,M-2008-0032,"FL-no 06.136 6-Isopropyl-3,9-dimethyl-1,4-dioxyspiro[4.5]decan-2-one",Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01355,Finished,Application,M-2008-0032,FL-no 02.167 Isodihydrocarveol,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01354,Finished,Application,M-2008-0032,FL-no 02.135 Cyclopentanol,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01353,Finished,Application,M-2008-0032,FL-no 02.075 neo-Dihydrocarveol,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,14/05/2009,-,-,-
EFSA-Q-2009-01352,Finished,Application,M-2008-0032,FL-no 07.260 1- or 3-Hydroxy-5-methyl-2- or 3-hexanone,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,10/11/2004,17/06/2009,-,-,-
